iter	Passed	Remaining
268	8352	22696
269	8364	22615
270	8377	22535
271	8392	22462
272	8409	22394
273	8425	22325
274	8439	22249
275	8452	22171
276	8465	22095
277	8478	22018
278	8491	21943
279	8509	21881
280	8527	21819
281	8544	21756
282	8560	21688
283	8572	21613
284	8584	21537
285	8597	21464
286	8609	21389
287	8622	21315
288	8635	21245
289	8648	21174
290	8661	21103
291	8674	21033
292	8688	20964
293	8701	20895
294	8714	20827
295	8727	20757
296	8740	20689
297	8752	20619
298	8765	20550
299	8778	20482
300	8791	20416
301	8804	20349
302	8816	20281
303	8829	20214
304	8841	20146
305	8853	20079
306	8868	20018
307	8881	19955
308	8895	19892
309	8907	19826
310	8920	19762
311	8932	19697
312	8945	19634
313	8958	19571
314	8971	19509
315	8983	19446
316	8996	19384
317	9009	19322
318	9022	19260
319	9035	19201
320	9048	19140
321	9062	19081
322	9075	19022
323	9088	18963
324	9101	18903
325	9114	18843
326	9126	18783
327	9139	18725
328	9152	18667
329	9165	18608
330	9178	18551
331	9191	18493
332	9204	18437
333	9218	18381
334	9231	18324
335	9245	18269
336	9257	18212
337	9270	18156
338	9283	18101
339	9296	18046
340	9312	17996
341	9327	17945
342	9341	17893
343	9358	17847
344	9374	17798
345	9389	17748
346	9403	17696
347	9422	17653
348	9438	17606
349	9458	17565
350	9486	17540
351	9509	17505
352	9536	17479
353	9559	17443
354	9580	17406
355	9601	17369
356	9620	17327
357	9644	17295
358	9672	17270
359	9720	17280
360	9739	17239
361	9754	17192
362	9771	17146
363	9787	17100
364	9804	17057
365	9821	17013
366	9837	16967
367	9853	16922
368	9869	16876
369	9886	16833
370	9901	16787
371	9917	16742
372	9934	16700
373	9954	16661
374	9970	16617
375	9986	16574
376	10008	16539
377	10029	16503
378	10046	16461
379	10065	16422
380	10084	16383
381	10107	16351
382	10122	16307
383	10138	16263
384	10152	16217
385	10166	16172
386	10181	16127
387	10196	16083
388	10213	16043
389	10230	16001
390	10244	15956
391	10259	15913
392	10290	15893
393	10316	15868
394	10341	15839
395	10365	15809
396	10381	15768
397	10395	15724
398	10409	15679
399	10422	15634
